sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active
bronze.brz_wholesale_codis_afi__codatan,Staging_WRK.vw_Codatan,bronze,brz_wholesale_codis_afi__codatan,LogicalBronze,overwrite,daily,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.codatan""]",True
bronze.brz_wholesale_codis_afi__comast,Staging_WRK.vw_Comast,bronze,brz_wholesale_codis_afi__comast,LogicalBronze,overwrite,daily,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.COMAST""]",True
bronze.brz_wholesale_codis_afi__extord,Staging_WRK.vw_Extord,bronze,brz_wholesale_codis_afi__extord,LogicalBronze,overwrite,daily,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORD""]",True
bronze.brz_wholesale_codis_afi__extorit,Staging_WRK.vw_Extorit,bronze,brz_wholesale_codis_afi__extorit,LogicalBronze,overwrite,daily,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.EXTORIT""]",True
ReferenceMaster_ENH.Calendar,ReferenceMaster_ENH.vw_Calendar,ReferenceMaster_ENH,Calendar,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimDate""]",True
ReferenceMaster_ENH.CustomerAccount,ReferenceMaster_ENH.vw_CustomerAccount,ReferenceMaster_ENH,CustomerAccount,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.AccountMaster""]",True
ReferenceMaster_ENH.CustomerAccountGroup,ReferenceMaster_ENH.vw_CustomerAccountGroup,ReferenceMaster_ENH,CustomerAccountGroup,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True
ReferenceMaster_ENH.CustomerGrouping,ReferenceMaster_ENH.vw_CustomerGrouping,ReferenceMaster_ENH,CustomerGrouping,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True
ReferenceMaster_ENH.CustomerShippingLocation,ReferenceMaster_ENH.vw_CustomerShippingLocation,ReferenceMaster_ENH,CustomerShippingLocation,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.ShippingLocations""]",True
ReferenceMaster_ENH.ForecastCycle,ReferenceMaster_ENH.vw_ForecastCycle,ReferenceMaster_ENH,ForecastCycle,ReferenceMaster,overwrite,monthly,1,,"[""SupplyChain_Lakehouse.dbo.ref_forecast_cycle""]",True
ReferenceMaster_ENH.ForecastHorizon,ReferenceMaster_ENH.vw_ForecastHorizon,ReferenceMaster_ENH,ForecastHorizon,ReferenceMaster,overwrite,monthly,1,,"[""Manual.ForecastHorizon""]",True
ReferenceMaster_ENH.ItemMaster,ReferenceMaster_ENH.vw_ItemMaster,ReferenceMaster_ENH,ItemMaster,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimItemMaster""]",True
ReferenceMaster_ENH.OrderType,ReferenceMaster_ENH.vw_OrderType,ReferenceMaster_ENH,OrderType,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.AAORDTYP""]",True
ReferenceMaster_ENH.Warehouse,ReferenceMaster_ENH.vw_Warehouse,ReferenceMaster_ENH,Warehouse,ReferenceMaster,overwrite,daily,1,,"[""Enterprise_Lakehouse.SupplyChain_DW.DimAFIWarehouses""]",True
Staging_WRK.DemandForecastSnapshotDailyEdw,bronze.vw_brz_supplychain_enh_1__demandforecastsnapshotdaily,Staging_WRK,DemandForecastSnapshotDailyEdw,Staging,overwrite,daily,1,,"[""Staging_WRK.DemandForecastSnapshotDailyEdw_edw""]",True
Staging_WRK.InvoiceDetailEdw,bronze.vw_brz_saleshistory_afi__invoicedetail,Staging_WRK,InvoiceDetailEdw,Staging,overwrite,daily,1,,"[""Staging_WRK.InvoiceDetailEdw_edw""]",True
Staging_WRK.InvoiceHeaderEdw,bronze.vw_brz_saleshistory_afi__invoiceheader,Staging_WRK,InvoiceHeaderEdw,Staging,overwrite,daily,1,,"[""Staging_WRK.InvoiceHeaderEdw_edw""]",True
Staging_WRK.ProductEdw,bronze.vw_ref_product,Staging_WRK,ProductEdw,Staging,overwrite,monthly,1,,"[""Staging_WRK.ProductEdw_edw""]",True
