run_id,asset_id,object_name,layer_name,status,start_time_utc,end_time_utc,start_time_cst,end_time_cst,rows_loaded,load_type
161832CE-C3C5-44C9-B758-D5B4E1F07F39,silver.slv_naive_forecast_monthly,ForecastHistory_ENH.NaiveForecastMonthly,DomainSilver,success,2026-05-04 06:30:54.880000,2026-05-04 06:31:14.070000,2026-05-04 01:30:54.880000,2026-05-04 01:31:14.070000,2048292,overwrite
8020BE90-09F6-4DA7-9B83-047C945F3884,silver.slv_invoice_weekly,SalesHistory_ENH.InvoiceWeekly,DomainSilver,success,2026-05-04 06:29:43.670000,2026-05-04 06:30:32.740000,2026-05-04 01:29:43.670000,2026-05-04 01:30:32.740000,37557568,overwrite
22ECC56B-0C09-4F77-A0DC-94A177552FA6,silver.slv_actual_demand_weekly,SalesHistory_ENH.ActualDemandWeekly,DomainSilver,success,2026-05-04 06:27:52.523333,2026-05-04 06:28:08.123333,2026-05-04 01:27:52.523333,2026-05-04 01:28:08.123333,7860239,overwrite
BF9F480E-B5B7-4CDB-A76E-1FF65DF0F4CA,silver.slv_invoice_weekly,SalesHistory_ENH.InvoiceWeekly,DomainSilver,success,2026-05-04 06:27:52.510000,2026-05-04 06:29:20.690000,2026-05-04 01:27:52.510000,2026-05-04 01:29:20.690000,37557568,overwrite
DFAF6EE5-FF07-4817-9981-EB8B9DA758A2,silver.slv_actual_demand_monthly,SalesHistory_ENH.ActualDemandMonthly,DomainSilver,success,2026-05-04 06:27:52.386667,2026-05-04 06:28:05.033333,2026-05-04 01:27:52.386667,2026-05-04 01:28:05.033333,2651222,overwrite
73D7FF8B-1FC8-4F68-9DFB-6E21DEB5B777,silver.slv_open_order_monthly,OpenOrderHistory_ENH.OpenOrderMonthly,DomainSilver,success,2026-05-04 06:27:52.383333,2026-05-04 06:27:54.956667,2026-05-04 01:27:52.383333,2026-05-04 01:27:54.956667,79539,overwrite
BED02B91-FDB6-4391-ABE0-F17DFE21BBB1,silver.slv_open_order_monthly,OpenOrderHistory_ENH.OpenOrderMonthly,DomainSilver,success,2026-05-04 06:25:52.220000,2026-05-04 06:25:56.560000,2026-05-04 01:25:52.220000,2026-05-04 01:25:56.560000,79539,overwrite
F0D64C47-0F71-4617-98A4-C4A3276A790E,silver.slv_actual_demand_monthly,SalesHistory_ENH.ActualDemandMonthly,DomainSilver,success,2026-05-04 06:25:51.253333,2026-05-04 06:26:20.403333,2026-05-04 01:25:51.253333,2026-05-04 01:26:20.403333,2651222,overwrite
DCF092C2-1B3E-4910-80A7-A8C4CEBBEB8B,silver.slv_invoice_weekly,SalesHistory_ENH.InvoiceWeekly,DomainSilver,failed,2026-05-04 06:25:51.023333,2026-05-04 06:28:35.546667,2026-05-04 01:25:51.023333,2026-05-04 01:28:35.546667,,overwrite
5C792BFB-8203-47F1-93E2-3B2A7C4B9069,silver.slv_actual_demand_weekly,SalesHistory_ENH.ActualDemandWeekly,DomainSilver,success,2026-05-04 06:25:51.020000,2026-05-04 06:26:26.313333,2026-05-04 01:25:51.020000,2026-05-04 01:26:26.313333,7860239,overwrite
1153C035-891B-4432-A5A0-B2EE857FE504,silver.slv_forecast_demand_monthly,ForecastHistory_ENH.ForecastDemandMonthly,DomainSilver,success,2026-05-04 06:24:37.080000,2026-05-04 06:25:41.560000,2026-05-04 01:24:37.080000,2026-05-04 01:25:41.560000,42406201,overwrite
5874B9F8-9072-4107-A796-A489A62B69D1,silver.slv_invoice_detail_line_level,SalesHistory_ENH.InvoiceDetailLineLevel,DomainSilver,success,2026-05-04 06:24:33.996667,2026-05-04 06:25:07.700000,2026-05-04 01:24:33.996667,2026-05-04 01:25:07.700000,88373617,overwrite
61617B97-9EC2-420F-B8DE-AD2D9A72202F,silver.slv_open_order_line_level,OpenOrderHistory_ENH.OpenOrderLineLevel,DomainSilver,success,2026-05-04 06:24:33.896667,2026-05-04 06:24:41.810000,2026-05-04 01:24:33.896667,2026-05-04 01:24:41.810000,189904,overwrite
1F37CD3A-D444-45E6-91AC-9D2BE79EEC85,silver.slv_invoice_detail_line_level,SalesHistory_ENH.InvoiceDetailLineLevel,DomainSilver,success,2026-05-04 06:20:41.730000,2026-05-04 06:21:29.350000,2026-05-04 01:20:41.730000,2026-05-04 01:21:29.350000,88373617,overwrite
8E2CB7D1-A307-49BF-A7A7-62C26E6CA085,silver.slv_open_order_line_level,OpenOrderHistory_ENH.OpenOrderLineLevel,DomainSilver,success,2026-05-04 06:20:31.946667,2026-05-04 06:20:38.386667,2026-05-04 01:20:31.946667,2026-05-04 01:20:38.386667,189906,overwrite
53E0E586-2148-40F0-9968-740DC47DB06B,silver.slv_forecast_demand_monthly,ForecastHistory_ENH.ForecastDemandMonthly,DomainSilver,success,2026-05-04 06:20:30.853333,2026-05-04 06:23:56.516667,2026-05-04 01:20:30.853333,2026-05-04 01:23:56.516667,42406201,overwrite
F243D8F7-B800-4BA9-8B0F-04EFC02CF2BC,silver.slv_naive_forecast_monthly,ForecastHistory_ENH.NaiveForecastMonthly,DomainSilver,success,2026-05-04 06:02:05.023333,2026-05-04 06:02:23.903333,2026-05-04 01:02:05.023333,2026-05-04 01:02:23.903333,2048290,overwrite
