sp_name,view_name,target_schema,target_table,layer,load_type,frequency,execution_order,depends_on,source_objects,is_active
ReferenceMaster_Enh.CustomerAccount,ReferenceMaster_Enh.v_CustomerAccount,ReferenceMaster_Enh,CustomerAccount,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.AccountMaster""]",True
ReferenceMaster_Enh.CustomerAccountGroup,ReferenceMaster_Enh.v_CustomerAccountGroup,ReferenceMaster_Enh,CustomerAccountGroup,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True
ReferenceMaster_Enh.CustomerGrouping,ReferenceMaster_Enh.v_CustomerGrouping,ReferenceMaster_Enh,CustomerGrouping,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_ProductSourcing_AFI.CustomerGrouping""]",True
ReferenceMaster_Enh.CustomerShippingLocation,ReferenceMaster_Enh.v_CustomerShippingLocation,ReferenceMaster_Enh,CustomerShippingLocation,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Customers.ShippingLocations""]",True
ReferenceMaster_Enh.ForecastCycle,ReferenceMaster_Enh.v_ForecastCycle,ReferenceMaster_Enh,ForecastCycle,ReferenceMaster,overwrite,monthly,1,,"[""SupplyChain_Lakehouse.dbo.ref_forecast_cycle""]",True
ReferenceMaster_Enh.ForecastHorizon,ReferenceMaster_Enh.v_ForecastHorizon,ReferenceMaster_Enh,ForecastHorizon,ReferenceMaster,overwrite,monthly,1,,"[""manual""]",True
ReferenceMaster_Enh.ItemMaster,ReferenceMaster_Enh.v_ItemMaster,ReferenceMaster_Enh,ItemMaster,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.MasterData_DW.DimItemMaster""]",True
ReferenceMaster_Enh.OrderType,ReferenceMaster_Enh.v_OrderType,ReferenceMaster_Enh,OrderType,ReferenceMaster,overwrite,monthly,1,,"[""Enterprise_Lakehouse.Wholesale_Codis_AFI.AAORDTYP""]",True
ReferenceMaster_Enh.Warehouse,ReferenceMaster_Enh.v_Warehouse,ReferenceMaster_Enh,Warehouse,ReferenceMaster,overwrite,daily,1,,"[""Enterprise_Lakehouse.SupplyChain_DW.DimAFIWarehouses""]",True
Staging_Wrk.DemandForecastSnapshotDailyEdw,bronze.v_brz_supplychain_enh_1__demandforecastsnapshotdaily,Staging_Wrk,DemandForecastSnapshotDailyEdw,Staging,overwrite,daily,1,,"[""SupplyChain_Lakehouse.dbo.brz_supplychain_enh_1__demandforecastsnapshotdaily_ver2""]",True
Staging_Wrk.InvoiceDetailEdw,bronze.v_brz_saleshistory_afi__invoicedetail,Staging_Wrk,InvoiceDetailEdw,Staging,overwrite,daily,1,,"[""SupplyChain_Lakehouse.dbo.brz_saleshistory_afi__invoicedetail_ver2""]",True
Staging_Wrk.InvoiceHeaderEdw,bronze.v_brz_saleshistory_afi__invoiceheader,Staging_Wrk,InvoiceHeaderEdw,Staging,overwrite,daily,1,,"[""SupplyChain_Lakehouse.dbo.brz_saleshistory_afi__invoiceheader_ver2""]",True
Staging_Wrk.ProductEdw,bronze.v_ref_product,Staging_Wrk,ProductEdw,Staging,overwrite,monthly,1,,"[""SupplyChain_Lakehouse.dbo.ref_product_ver2""]",True
